word,freq_cat,freq_dog,freq_combined
steady,1,0,1
prevent,1,0,1
choppers,0,1,1
20,3,0,3
1992,0,1,1
bury,1,0,1
mph,1,0,1
france,1,0,1
human,4,4,8
liquid,1,0,1
gets,2,0,2
speeds,1,0,1
faces,0,2,2
distressed,1,0,1
faster,0,2,2
species,1,1,2
28,0,2,2
muscles,0,1,1
absorbers,1,0,1
trusts,1,0,1
mile,0,1,1
comes,1,0,1
foot,0,1,1
depends,1,0,1
carted,1,0,1
seek,0,1,1
also,2,2,4
violently,0,1,1
aids,1,0,1
tempetature,1,0,1
called,7,3,10
mother,1,0,1
older,0,1,1
flexibility,0,1,1
contains,0,1,1
mature,0,1,1
human’s,0,1,1
neutering,1,0,1
many,6,3,9
little,4,0,4
average,2,4,6
lived,1,0,1
higher,1,1,2
pool,0,1,1
machines,0,1,1
face,1,2,3
open,1,2,3
found,2,0,2
titanic,0,1,1
keeps,0,1,1
basenji,0,1,1
blueeyed,1,0,1
lover,1,0,1
fouryearold,0,1,1
8,0,1,1
consider,1,0,1
dr,0,1,1
18,3,0,3
heat,1,1,2
last,1,1,2
donkeys,0,1,1
running,0,2,2
interpret,0,1,1
dislike,1,0,1
appears,2,0,2
receptive,0,1,1
adult,0,2,2
vocal,1,0,1
accordingly,1,0,1
dangerous,1,0,1
icelands,0,1,1
show,4,0,4
distinguish,0,1,1
discovered,0,1,1
blasted,1,0,1
mohammad,1,0,1
leg,0,1,1
permanent,1,1,2
catlover,1,0,1
revered,1,1,2
bugs,0,1,1
puff,1,0,1
miles,0,1,1
today,1,0,1
months,4,0,4
apart,1,0,1
ago,1,2,3
girl,0,1,1
cinderella,1,0,1
dimmer,1,0,1
swimming,0,1,1
withstand,0,1,1
iii,0,1,1
retrieve,0,1,1
crosseyed,1,0,1
exact,0,1,1
jerry,1,0,1
hurdles,0,1,1
ear,3,1,4
14,0,2,2
terrier,0,1,1
without,1,1,2
temperature,2,1,3
kitten,1,0,1
mud,0,1,1
toys,0,1,1
allow,0,1,1
every,2,1,3
warm,0,1,1
completely,0,1,1
created,1,1,2
young,0,1,1
1981,1,0,1
cover,1,0,1
350,0,1,1
stored,1,0,1
develop,0,1,1
dog,0,32,32
asking,1,0,1
theatrical,1,0,1
forth,0,1,1
chew,1,0,1
karlotta,0,1,1
membrane,0,1,1
4,4,0,4
tries,1,0,1
pure,1,1,2
blackie,1,0,1
110140,1,0,1
ailurophilia,1,0,1
30,3,0,3
flier,0,1,1
feet,2,1,3
air,0,1,1
hollywood,0,2,2
germany,0,1,1
leopard,2,0,2
kublai,0,1,1
kills,1,0,1
possum’s,1,0,1
carroll’s,1,0,1
fed,1,0,1
actually,3,0,3
delta,0,1,1
christopher,0,1,1
cheetahs,1,0,1
alsatin,0,1,1
akbash,0,1,1
zend,0,1,1
acting,0,1,1
marking,1,0,1
needs,1,0,1
retriever,0,2,2
lbs,3,0,3
minute,1,3,4
friend,0,1,1
respond,2,0,2
tigger,0,1,1
siam,1,0,1
prints,0,2,2
inner,1,0,1
reflecting,1,0,1
trained,0,4,4
love,1,1,2
smeared,0,1,1
related,1,0,1
133,1,0,1
jake,0,1,1
62,1,0,1
august,1,0,1
known,1,2,3
largest,2,0,2
goes,1,0,1
drop,0,1,1
character,1,0,1
survey,0,1,1
breeds,0,6,6
border,0,2,2
drinks,1,0,1
able,2,0,2
new,1,0,1
1983,0,1,1
lagotto,0,1,1
mourned,0,1,1
happens,1,0,1
grooming,1,0,1
lives,0,3,3
physical,1,0,1
several,1,0,1
say,0,1,1
onto,0,1,1
decorated,0,1,1
curls,0,1,1
strong,1,1,2
color,1,0,1
diarrhea,1,0,1
frequent,0,1,1
help,2,1,3
can’t,2,0,2
scottie,0,1,1
need,0,1,1
dominance,1,0,1
predators,1,0,1
2005,1,0,1
health,1,0,1
extremes,1,0,1
top,1,0,1
70,1,1,2
hearing,1,1,2
aka,1,0,1
male,1,4,5
happy,4,0,4
direct,1,1,2
dont,1,0,1
magic,1,0,1
held,0,1,1
goddess,1,0,1
conception,1,0,1
similar,0,2,2
outnumbering,1,0,1
dirt,1,0,1
playful,0,1,1
brain,2,0,2
world,0,3,3
nosiest,0,1,1
french,1,0,1
leave,0,1,1
search,0,1,1
taurine,1,0,1
chihuahua,0,1,1
percent,0,2,2
females,1,0,1
retrievers,0,1,1
first,6,6,12
police,0,1,1
canines,3,0,3
state,1,3,4
organs,1,1,2
pack,0,1,1
popular,2,3,5
swim,0,1,1
f,1,0,1
worlds,1,1,2
unique,1,1,2
contracts,0,1,1
endal,0,1,1
embodies,1,0,1
5,2,0,2
estrus,0,1,1
lloyd,1,0,1
celebrating,1,0,1
neck,0,2,2
ball,0,1,1
pride,1,0,1
jaw,1,0,1
country,0,1,1
influential,0,1,1
incisors,1,0,1
160,1,0,1
bulldogs,0,1,1
chocolate,2,1,3
almost,1,0,1
shock,1,0,1
red,1,1,2
brains,2,0,2
shorthair,1,0,1
organised,1,0,1
quietest,0,1,1
ground,0,2,2
international,0,1,1
molars,1,0,1
within,1,0,1
scientists,1,0,1
temperatures,1,1,2
benevolent,1,0,1
small,0,2,2
born,0,4,4
102,1,0,1
legend,2,0,2
capital,0,1,1
descendants,0,1,1
austin,1,0,1
thanks,1,0,1
twice,1,0,1
10000,0,1,1
clouded,1,0,1
gene,2,0,2
pomeranian,0,1,1
12,2,2,4
£100000,1,0,1
still,1,0,1
allows,0,1,1
zeus,2,0,2
sniff,0,2,2
america,2,0,2
funny,0,1,1
dog’s,0,8,8
believe,1,2,3
territory,1,0,1
roar,1,0,1
distances,0,1,1
rid,0,1,1
ample,1,0,1
rolls,1,0,1
like,2,3,5
larger,1,1,2
kennel,0,3,3
rea,1,0,1
cat,69,0,69
nerves,2,0,2
effort,0,1,1
poke,1,0,1
experts,1,1,2
relays,0,1,1
worse,2,0,2
die,0,2,2
patron,0,1,1
queen,1,0,1
singapura,2,0,2
tradition,0,1,1
million,5,2,7
penis,0,1,1
population,0,1,1
hes,0,1,1
disappear,1,0,1
120,0,1,1
largely,1,0,1
tomcat,1,0,1
based,1,0,1
good,1,0,1
noah,1,0,1
remain,1,0,1
hanging,0,1,1
relation,1,0,1
purring,2,0,2
present,1,0,1
original,1,0,1
60s,0,1,1
longest,0,1,1
day,1,0,1
scent,2,1,3
blue,0,2,2
tom,1,0,1
eliot’s,1,0,1
black,2,2,4
sites,0,1,1
flat,0,1,1
lifting,0,1,1
space,4,0,4
recognized,0,2,2
best,1,4,5
expensive,2,0,2
shown,0,1,1
green,0,1,1
hear,1,1,2
kg,3,0,3
command,0,2,2
bone,0,1,1
rarest,0,1,1
hide,0,2,2
zero,0,1,1
300,1,0,1
nearly,1,0,1
call,0,1,1
big,1,1,2
1884,0,1,1
watch,0,1,1
results,1,0,1
word,1,0,1
stimuli,1,0,1
two,3,1,4
wag,0,1,1
field,1,1,2
ill,0,1,1
fully,0,1,1
ancient,2,3,5
replaced,1,0,1
domestic,4,0,4
catnip,1,0,1
protect,0,2,2
shorter,0,1,1
magnetized,1,0,1
biggest,1,0,1
england,1,0,1
1940,1,0,1
long,4,3,7
daggerlike,1,0,1
42,1,2,3
420,1,0,1
device,0,1,1
poo,0,1,1
unattached,0,1,1
energy,0,1,1
paw,0,1,1
causes,1,0,1
22,0,1,1
pick,0,2,2
merit,0,1,1
submissive,0,2,2
dander,1,0,1
count,0,1,1
parts,1,0,1
cemetery,1,0,1
weeks,2,1,3
alaskan,0,1,1
°f,1,0,1
primarily,0,1,1
require,0,1,1
various,0,2,2
wagometer,0,1,1
kind,1,0,1
pedigreed,3,0,3
davy,0,1,1
parade,1,0,1
incoming,1,0,1
fingerprint,1,0,1
retractable,1,0,1
blackfooted,1,0,1
smile,0,1,1
subsonic,0,1,1
naturally,0,1,1
tongue,1,0,1
third,0,1,1
immediately,0,1,1
remarkable,0,1,1
correct,1,0,1
identify,0,1,1
skeleton,0,1,1
adore,1,0,1
intends,1,0,1
year,1,2,3
know,0,2,2
toenails,0,1,1
alcdomestic,1,0,1
mohammed,2,0,2
always,2,0,2
tabby,2,0,2
noses,0,1,1
commercially,1,0,1
essential,1,0,1
womens,1,0,1
grass,1,0,1
50000,1,0,1
it’s,1,3,4
communicate,1,0,1
heartbeat,0,1,1
interact,1,0,1
egyptians,1,1,2
tv,0,1,1
cat’s,5,0,5
cm,2,0,2
horses,0,1,1
lion,1,0,1
purebred,0,1,1
chords,1,0,1
earths,0,1,1
labrador,0,2,2
either,1,1,2
muezza,1,0,1
embalmed,1,0,1
status,0,1,1
britain,1,0,1
nickname,0,1,1
bad,1,0,1
considered,1,1,2
named,3,5,8
60000,1,0,1
puppy,0,1,1
nose,1,5,6
pup,0,2,2
high,2,0,2
bones,2,0,2
andrew,1,0,1
falls,1,0,1
eaten,1,0,1
eightyseven,0,1,1
nictitating,0,1,1
snores,1,0,1
yellow,0,2,2
probably,1,0,1
illegal,0,1,1
khan,0,1,1
trails,1,1,2
better,6,0,6
50,1,1,2
ride,0,1,1
lewis,1,0,1
fact,1,1,2
100,1,0,1
21,0,1,1
star,0,2,2
“m”,1,0,1
age,1,1,2
stake,1,0,1
egypt,1,0,1
making,1,1,2
keep,2,2,4
box,0,1,1
healthy,2,0,2
size,2,0,2
evolved,0,1,1
kingdom,1,0,1
maggie,0,1,1
food,3,1,4
simply,0,1,1
solve,0,1,1
sniffing,0,1,1
another,1,0,1
dalmatian,0,1,1
reduced,0,1,1
smartest,0,1,1
crème,1,0,1
easy,0,1,1
2003,0,1,1
book,1,0,1
pups,0,3,3
poodle,0,1,1
math,0,1,1
bathed,1,0,1
meow,1,0,1
ability,3,1,4
puppies,0,7,7
mastiffs,0,1,1
asian,1,0,1
use,2,0,2
observing,1,0,1
crystal,2,0,2
debris,0,1,1
enjoy,1,0,1
pregnant,1,1,2
affection,1,0,1
move,1,1,2
“crossing”,1,0,1
five,1,0,1
selfdomesticated,0,1,1
stages,1,0,1
38th,1,0,1
instead,1,0,1
reply,1,0,1
acquired,1,0,1
goose,0,2,2
sleep,1,0,1
“righting,1,0,1
clowder,1,0,1
early,1,1,2
water,1,0,1
care,0,3,3
extreme,1,0,1
time,1,1,2
lions,2,0,2
later,1,0,1
figure,1,0,1
europe,1,0,1
right,3,0,3
families,1,0,1
among,1,0,1
wrappings,1,0,1
labradors,0,1,1
late,0,1,1
glands,1,2,3
order,1,0,1
extra,1,0,1
franklin,0,2,2
normal,2,1,3
layer,1,0,1
catch,1,0,1
holds,1,1,2
backwards,1,0,1
white,1,4,5
roger,0,1,1
taught,0,1,1
forehead,1,0,1
supplies,1,0,1
rats,1,0,1
nonconfrontational,1,0,1
diseases,1,0,1
states,1,1,2
would,1,2,3
rate,1,0,1
earned,0,1,1
cost,1,0,1
paddywhack,0,1,1
rather,1,0,1
pirated,0,1,1
low,0,1,1
phenomenon,1,0,1
petsidecomassociated,0,1,1
